City,Year,Code Number, PDF Page Number (Not Plan Page),Document Name,Text Content,Verb,Nature,N_Nature,N_Culture,N_Society,Biodiversity,HumanWellbeing,ClimateAdaptation,HW,Both
Louisville,2013,13:1,p 20,2013_Louisville_SUS,"The Office of Sustainability will assess the development
of a “depave” program to reduce impervious surface area which reduces stormwater runoff and increases the amount of land available for habitat restoration, urban farming and trees. This will include initiatives to minimize or reduce the amount of impervious pavement in construction projects and promote the responsible and creative reuse and recycling of concrete and asphalt. The city will research and develop a pilot project to restore ten miles of riparian vegetation along a local waterway, the results of which will be shared in a best practices guide so that the learnings can be replicated across the city.",Improve,Permeable surfaces,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Louisville,2013,13:1,p 20,2013_Louisville_SUS,"The Office of Sustainability will assess the development
of a “depave” program to reduce impervious surface area which reduces stormwater runoff and increases the amount of land available for habitat restoration, urban farming and trees. This will include initiatives to minimize or reduce the amount of impervious pavement in construction projects and promote the responsible and creative reuse and recycling of concrete and asphalt. The city will research and develop a pilot project to restore ten miles of riparian vegetation along a local waterway, the results of which will be shared in a best practices guide so that the learnings can be replicated across the city.",Restore,Riparian corridors,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Louisville,2013,13:3,p 28,2013_Louisville_SUS,"Expand the local food system by 20%
2018
 INITIATIVES
Incorporate urban agriculture guidance in 2013 Land Development Code amendments Develop a step-by-step guide for citizen engagement in urban agriculture
Support and expand the Louisville Farm to Table Program",Expand,Urban farm,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Louisville,2013,13:6,p 29,2013_Louisville_SUS,"Once the Land Development Code guidance for com- munity gardens has been issued, a step-by-step guide will be developed to engage and educate citizens on urban agriculture practices and requirements. In addition, use
of select vacant or abandoned properties as community gardens is being considered.",Create,Gardens,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Louisville,2013,13:9,p 35,2013_Louisville_SUS,"To maintain the high caliber of parks in Louisville, Metro Parks Forestry and Landscape Division will implement
the City of Parks Master Plan, including land acquisition, planting trees and providing tree care and maintenance designed to expand the urban tree canopy. In addition,
the Natural Areas Division will increase the acreage of land that is managed for habitat, outdoor recreation and envi- ronmental education. The Natural Areas Division also seeks to engage minority children and their families in nature- based recreation, stewardship and education by expanding ECHO to include an out-of-school time program.
    Goals and Initiatives
 COMMUNITY
16. Replace and reforest parks property and provide nature-based recreation
INITIATIVES
Provide out-of-school time nature-based recreation for six schools
Increase the acreage of natural areas land under active management by 25% Acquire 4,000 acres of park land and conservation easements
2018
Underway Planned Proposed",Maintain,Parks,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Louisville,2013,13:9,p 35,2013_Louisville_SUS,"To maintain the high caliber of parks in Louisville, Metro Parks Forestry and Landscape Division will implement
the City of Parks Master Plan, including land acquisition, planting trees and providing tree care and maintenance designed to expand the urban tree canopy. In addition,
the Natural Areas Division will increase the acreage of land that is managed for habitat, outdoor recreation and envi- ronmental education. The Natural Areas Division also seeks to engage minority children and their families in nature- based recreation, stewardship and education by expanding ECHO to include an out-of-school time program.
    Goals and Initiatives
 COMMUNITY
16. Replace and reforest parks property and provide nature-based recreation
INITIATIVES
Provide out-of-school time nature-based recreation for six schools
Increase the acreage of natural areas land under active management by 25% Acquire 4,000 acres of park land and conservation easements
2018
Underway Planned Proposed",Increase,Natural area,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Louisville,2013,13:11,p 36,2013_Louisville_SUS,"The plan includes adaptive management techniques that would allow MSD to utilize green infrastructure, or natural solutions such as vegetated roofs, in-ground stor- age, rain gardens and pervious pavement, to accomplish the same level of control for sewer overflow reduction. The intent of MSD’s Green Infrastructure program is to re- duce the amount of stormwater overflow through natural solutions, thus reducing gray project sizes and costs, and signaling a new era in stormwater management in Louis- ville. Gray projects are the traditional systems of building storage capacity in tanks or other holding structures that simply hold the rainwater during a rain event and thereby reduce the overflow volumes. MSD also completed 19 green demonstration projects, which are being used as testing grounds for monitoring and modeling. The long- term performance of green infrastructure will be docu- mented, including the amount of stormwater runoff
captured, maintenance cycles, stormwater infiltration rates and ultimately CSO volumes.
In 2011, MSD launched a Green Incentives and Savings Program, which established financial incentives for com- mercial and industrial private property owners to help offset green infrastructure construction costs, as well as provide an opportunity for credits on stormwater fees for a period of time. The incentives are based upon a busi- ness case where the value of removing impervious surface area from the combined sewer system was calculated and quantified by accounting for reduced gray project sizes, and the cost to treat stormwater.
PROPOSED INITIATIVES
To promote green infrastructure practices citywide, the Office of Sustainability will investigate opportunities to collaborate with MSD to expand its incentive program. The program will encourage use of green infrastructure in both redevelopment and new development areas which may be outside of MSD’s priority incentive area. For example, establishing best practices and cost-neutral options to build green infrastructure elements will help all developers better handle stormwater runoff. In addi- tion, the city will use green infrastructure elements in all future projects when feasible and based on the project resources.",Use,Green roofs,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Louisville,2013,13:11,p 36,2013_Louisville_SUS,"The plan includes adaptive management techniques that would allow MSD to utilize green infrastructure, or natural solutions such as vegetated roofs, in-ground stor- age, rain gardens and pervious pavement, to accomplish the same level of control for sewer overflow reduction. The intent of MSD’s Green Infrastructure program is to re- duce the amount of stormwater overflow through natural solutions, thus reducing gray project sizes and costs, and signaling a new era in stormwater management in Louis- ville. Gray projects are the traditional systems of building storage capacity in tanks or other holding structures that simply hold the rainwater during a rain event and thereby reduce the overflow volumes. MSD also completed 19 green demonstration projects, which are being used as testing grounds for monitoring and modeling. The long- term performance of green infrastructure will be docu- mented, including the amount of stormwater runoff
captured, maintenance cycles, stormwater infiltration rates and ultimately CSO volumes.
In 2011, MSD launched a Green Incentives and Savings Program, which established financial incentives for com- mercial and industrial private property owners to help offset green infrastructure construction costs, as well as provide an opportunity for credits on stormwater fees for a period of time. The incentives are based upon a busi- ness case where the value of removing impervious surface area from the combined sewer system was calculated and quantified by accounting for reduced gray project sizes, and the cost to treat stormwater.
PROPOSED INITIATIVES
To promote green infrastructure practices citywide, the Office of Sustainability will investigate opportunities to collaborate with MSD to expand its incentive program. The program will encourage use of green infrastructure in both redevelopment and new development areas which may be outside of MSD’s priority incentive area. For example, establishing best practices and cost-neutral options to build green infrastructure elements will help all developers better handle stormwater runoff. In addi- tion, the city will use green infrastructure elements in all future projects when feasible and based on the project resources.",Use,Permeable surfaces,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Louisville,2013,13:11,p 36,2013_Louisville_SUS,"The plan includes adaptive management techniques that would allow MSD to utilize green infrastructure, or natural solutions such as vegetated roofs, in-ground stor- age, rain gardens and pervious pavement, to accomplish the same level of control for sewer overflow reduction. The intent of MSD’s Green Infrastructure program is to re- duce the amount of stormwater overflow through natural solutions, thus reducing gray project sizes and costs, and signaling a new era in stormwater management in Louis- ville. Gray projects are the traditional systems of building storage capacity in tanks or other holding structures that simply hold the rainwater during a rain event and thereby reduce the overflow volumes. MSD also completed 19 green demonstration projects, which are being used as testing grounds for monitoring and modeling. The long- term performance of green infrastructure will be docu- mented, including the amount of stormwater runoff
captured, maintenance cycles, stormwater infiltration rates and ultimately CSO volumes.
In 2011, MSD launched a Green Incentives and Savings Program, which established financial incentives for com- mercial and industrial private property owners to help offset green infrastructure construction costs, as well as provide an opportunity for credits on stormwater fees for a period of time. The incentives are based upon a busi- ness case where the value of removing impervious surface area from the combined sewer system was calculated and quantified by accounting for reduced gray project sizes, and the cost to treat stormwater.
PROPOSED INITIATIVES
To promote green infrastructure practices citywide, the Office of Sustainability will investigate opportunities to collaborate with MSD to expand its incentive program. The program will encourage use of green infrastructure in both redevelopment and new development areas which may be outside of MSD’s priority incentive area. For example, establishing best practices and cost-neutral options to build green infrastructure elements will help all developers better handle stormwater runoff. In addi- tion, the city will use green infrastructure elements in all future projects when feasible and based on the project resources.",Use,Rain gardens,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Louisville,2013,13:12,p 37,2013_Louisville_SUS,"As mentioned in Section 5.2, Land Development Code revisions are underway which will update the tree canopy regulations to better support the rebuilding of Louisville’s declining tree canopy. The Tree Advisory Commission will facilitate preparation
of an urban tree canopy analysis and develop a plan to support the Mayor’s goal of planting 10,000 trees by 2015. Tree-planting efforts will focus on areas of greatest need and will target areas where co-benefits can be realized, such as planting trees in locations that provide green infrastructure and stormwater mitigation while also providing shade and energy efficiency benefits for adjacent buildings.",Improve,Trees-focused,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
